107.29.161.246 - - [14/May/2024:12:00:16 +0000] "GET /assets/img/content/7abcdf99.webp HTTP/1.1" 206 135715 "https://portal.northstarclaims.net/products" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148"
107.29.161.246 - - [14/May/2024:12:00:16 +0000] "GET /assets/js/app.bundle.8ed994fa.js HTTP/1.1" 200 92713 "https://portal.northstarclaims.net/products" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148"
107.29.161.246 - - [14/May/2024:12:00:17 +0000] "GET /favicon.ico HTTP/1.1" 200 890 "https://portal.northstarclaims.net/products" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148"
107.29.161.246 - - [14/May/2024:12:00:18 +0000] "GET /assets/css/main.min.8b70f084.css HTTP/1.1" 200 32900 "https://portal.northstarclaims.net/products" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148"
107.29.161.246 - - [14/May/2024:12:00:19 +0000] "GET /assets/img/content/d7ae5a51.jpg HTTP/1.1" 200 488130 "https://portal.northstarclaims.net/products" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148"
207.133.55.7 - - [14/May/2024:12:01:21 +0000] "GET /.well-known/security.txt HTTP/1.1" 200 10305 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
84.72.245.88 - - [14/May/2024:12:03:52 +0000] "GET / HTTP/1.1" 301 226 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
105.35.177.219 - - [14/May/2024:12:04:30 +0000] "GET / HTTP/1.1" 301 226 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
90.24.75.170 - - [14/May/2024:12:04:56 +0000] "GET /assets/js/app.bundle.8ed994fa.js HTTP/1.1" 200 92713 "https://portal.northstarclaims.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
90.24.75.170 - - [14/May/2024:12:04:57 +0000] "GET /assets/css/main.min.8b70f084.css HTTP/1.1" 200 32900 "https://portal.northstarclaims.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
90.24.75.170 - - [14/May/2024:12:04:57 +0000] "GET /assets/js/vendor.64ac17d4.js HTTP/1.1" 200 14862 "https://portal.northstarclaims.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
90.24.75.170 - - [14/May/2024:12:04:58 +0000] "GET /assets/img/hero.webp HTTP/1.1" 200 387266 "https://portal.northstarclaims.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
90.24.75.170 - - [14/May/2024:12:04:58 +0000] "GET /assets/img/logo.svg HTTP/1.1" 200 13861 "https://portal.northstarclaims.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
